ID рассылки;ID компании;Страница
27364;2097682;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=32984_2097682
27364;2116400;(пусто)
27364;2501788;(пусто)
27364;2961012;(пусто)
27364;3131820;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=3542596_3131820
27364;3135574;(пусто)
27364;4159106;(пусто)
27364;4266663;(пусто)
27364;4271623;(пусто)
27364;4273803;(пусто)
27364;4274825;(пусто)
27364;4281957;(пусто)
27364;4284281;(пусто)
27364;4285765;(пусто)
27364;4602466;(пусто)
27364;4602972;(пусто)
27364;4603871;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=157337_4603871
27364;4604684;(пусто)
27364;4608765;(пусто)
27364;4617651;(пусто)
27364;4617800;(пусто)
27364;4968853;(пусто)
27364;4999206;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=734649_4999206
27364;6274533;(пусто)
27364;7610273;(пусто)
27364;7965949;(пусто)
27364;8626874;(пусто)
27364;8627619;(пусто)
27364;8627649;(пусто)
27364;8627667;(пусто)
27364;8627715;(пусто)
27364;8628215;(пусто)
27364;8629962;(пусто)
27364;8629996;(пусто)
27364;8634099;(пусто)
27364;8634569;(пусто)
27364;8637110;(пусто)
27364;8637917;(пусто)
27364;8639059;(пусто)
27364;8641528;(пусто)
27364;8643433;(пусто)
27364;8648486;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=24625_8648486
27364;8649448;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=24962886_8649448
27364;8650660;(пусто)
27364;8716711;(пусто)
27364;8722981;(пусто)
27364;8733513;(пусто)
27364;8734005;(пусто)
27364;8747831;(пусто)
27364;8767660;(пусто)
27364;8782443;(пусто)
27364;8816788;https://www.pulscen.ru/about/promo/Realnyye_bonusy_dlya_prodvizheniya?utm_campaign=27364_29861109_2020-06-17&utm_content=17-06-2020&utm_medium=email&utm_source=1&utm_term=35895_8816788
27364;9096066;(пусто)
27364;9108726;(пусто)
27364;9125343;(пусто)
27364;9201213;(пусто)
27364;9201248;(пусто)
27364;9204961;(пусто)
27364;9375280;(пусто)
27364;9390865;(пусто)
